Persistent ID,Artist,Album,Before,After
48142725F544B347,KMD,Mr. Hood,Boy Who Cried Wolf (LP Version),Boy Who Cried Wolf
1D3853374CBF23AA,Sonic Youth,Daydream Nation,The Sprawl (2012 Remastered Version),The Sprawl
12C2369C4E337EF1,Sonic Youth,Daydream Nation,'Cross the Breeze (2012 Remastered Version),'Cross the Breeze
94C9389CAB94148F,Sonic Youth,Daydream Nation,Eric's Trip (2012 Remastered Version),Eric's Trip
3253C56AAE696C8E,Sonic Youth,Daydream Nation,Total Trash (2012 Remastered Version),Total Trash
A80EA4A9667F06DD,Sonic Youth,Daydream Nation,Hey Joni (2012 Remastered Version),Hey Joni
330D3F3BE111BDD1,Sonic Youth,Daydream Nation,Providence (2012 Remastered Version),Providence
39857D86BBD4AAA9,Sonic Youth,Daydream Nation,Candle (2012 Remastered Version),Candle
189C35F9A9C9C9A9,Sonic Youth,Daydream Nation,Rain King (2012 Remastered Version),Rain King
915934E882958BC0,Sonic Youth,Daydream Nation,Kissability (2012 Remastered Version),Kissability
7B23B0404A656880,Sonic Youth,Daydream Nation,Trilogy: a) The Wonder  (2012 Remastered Version),Trilogy: a) The Wonder
F348399F07D4B794,Sonic Youth,Daydream Nation,Trilogy: b) Hyperstation (2012 Remastered Version),Trilogy: b) Hyperstation
321CC83EE1FFEC41,Sonic Youth,Daydream Nation,Trilogy: z) Eliminator Jr. (2012 Remastered Version),Trilogy: z) Eliminator Jr.
3309B118AA92CEED,Jon Hopkins,Immunity,We Disappear (Remaster 2023),We Disappear
0703D049A57B0EE1,Jon Hopkins,Immunity,Open Eye Signal (Remaster 2023),Open Eye Signal
A67FFE4AA10EC62E,Jon Hopkins,Immunity,Breathe This Air (Remaster 2023),Breathe This Air
AA53AE0670ACFBE1,Jon Hopkins,Immunity,Collider (Remaster 2023),Collider
0E874FF1B2D2D8FE,Jon Hopkins,Immunity,Abandon Window (Remaster 2023),Abandon Window
0E76D4B5037D69B1,Jon Hopkins,Immunity,Form by Firelight (Remaster 2023),Form by Firelight
2B6853ED757519DE,Jon Hopkins,Immunity,Sun Harmonics (Remaster 2023),Sun Harmonics
3DA7D0375631E824,Jon Hopkins,Immunity,Immunity (Remaster 2023),Immunity
8054DA6368D95C37,Ryuichi Sakamoto & Alva Noto,Insen,Aurora (Remaster),Aurora
31C111DE403656A8,Ryuichi Sakamoto & Alva Noto,Insen,Morning (Remaster),Morning
FB3E28D583E66C87,Ryuichi Sakamoto & Alva Noto,Insen,Logic Moon (Remaster),Logic Moon
45F3A8904C415BC8,Ryuichi Sakamoto & Alva Noto,Insen,Moon (Remaster),Moon
9B880B78C0712765,Ryuichi Sakamoto & Alva Noto,Insen,Berlin (Remaster),Berlin
F8A18649267A950C,Ryuichi Sakamoto & Alva Noto,Insen,Iano (Remaster),Iano
C163D45ECFFD2338,Ryuichi Sakamoto & Alva Noto,Insen,Avaol (Remaster),Avaol
0728A219319047E1,Ryuichi Sakamoto & Alva Noto,Insen,Barco (Remaster),Barco
87C5B15CC5D3DE5A,Yusef Lateef,Eastern Sounds,The Plum Blossom (Remastered 2023),The Plum Blossom
54089C7108D198A4,Yusef Lateef,Eastern Sounds,Ching Miau (Remastered 2023),Ching Miau
1B0D9BC3FDE3DCF1,Yusef Lateef,Eastern Sounds,Don't Blame Me (Remastered 2023),Don't Blame Me
6EDAF512EC81CAB2,Yusef Lateef,Eastern Sounds,Love Theme From Spartacus (Remastered 2023),Love Theme From Spartacus
DB32090CC2CD74DA,Yusef Lateef,Eastern Sounds,Snafu (Remastered 2023),Snafu
B1E0F7083C721A05,Yusef Lateef,Eastern Sounds,Purple Flower (Remastered 2023),Purple Flower
552607C52834CBF0,Yusef Lateef,Eastern Sounds,Love Theme From The Robe (Remastered 2023),Love Theme From The Robe
8953055E649DFF1D,Yusef Lateef,Eastern Sounds,The Three Faces Of Balal (Remastered 2023),The Three Faces Of Balal
786A104900CCBDDD,Jan Jelinek,Tierbeobachtungen,A Concert For Television (33 RPM LP Version),A Concert For Television
B5CD4937F5077446,Jan Jelinek,Tierbeobachtungen,Palmen Aus Leder (33 RPM LP Version),Palmen Aus Leder
97E2D7637314C6C9,Jan Jelinek,Tierbeobachtungen,Tierbeobachtung (33 RPM LP Version),Tierbeobachtung
3068ED8E25C28422,Jan Jelinek,Tierbeobachtungen,The Ballad Of Soap Und Die Gema Nimmt Kontakt Auf (33 RPM LP Version),The Ballad Of Soap Und Die Gema Nimmt Kontakt Auf
7C5FF1509877D9D9,Jan Jelinek,Tierbeobachtungen,Up To My Same Old Trick Again (33 RPM LP Version),Up To My Same Old Trick Again
467C59622B5CEE83,Jan Jelinek,Tierbeobachtungen,Happening Tone (33 RPM LP Version),Happening Tone
8992143471B72079,The Sonny Criss Orchestra,Sonny's Dream (Birth of the New Cool),Sonny's Dream (Expanded Edition),Sonny's Dream
DA494285DD3A0FF7,The Sonny Criss Orchestra,Sonny's Dream (Birth of the New Cool),Ballad For Samuel (Expanded Edition),Ballad For Samuel
F3881200E3D18EBD,The Sonny Criss Orchestra,Sonny's Dream (Birth of the New Cool),The Black Apostles (Expanded Edition),The Black Apostles
90EC320E2B48A37A,The Sonny Criss Orchestra,Sonny's Dream (Birth of the New Cool),The Golden Pearl (Expanded Edition),The Golden Pearl
77AC95DE3952EB95,The Sonny Criss Orchestra,Sonny's Dream (Birth of the New Cool),Daughter Of Cochise (Expanded Edition),Daughter Of Cochise
FBB158A29D2BDB28,The Sonny Criss Orchestra,Sonny's Dream (Birth of the New Cool),Sandy And Niles (Expanded Edition),Sandy And Niles
5690F1081B32FC71,Jóhann Jóhannsson,Englabörn & Variations,Odi et Amo (Remastered),Odi et Amo
8940EA5901B830BF,Jóhann Jóhannsson,Englabörn & Variations,Englabörn (Remastered),Englabörn
A01521DE7AE9EB26,Jóhann Jóhannsson,Englabörn & Variations,Jói & Karen (Remastered),Jói & Karen
8D52D1794C24F95D,Jóhann Jóhannsson,Englabörn & Variations,Þetta Gerist Á Bestu Bæjum (Remastered),Þetta Gerist Á Bestu Bæjum
92874E949A34F1DF,Jóhann Jóhannsson,Englabörn & Variations,Sálfræðingur (Remastered),Sálfræðingur
BB631179B2BC0300,Jóhann Jóhannsson,Englabörn & Variations,"""Ég Sleppi Þér Aldrei"" (Remastered)","""Ég Sleppi Þér Aldrei"""
5214849171FB0B11,Jóhann Jóhannsson,Englabörn & Variations,Sálfræðingur Deyr (Remastered),Sálfræðingur Deyr
9656AF06156849CF,Jóhann Jóhannsson,Englabörn & Variations,Bað (Remastered),Bað
FC7A7EE2B5099863,Jóhann Jóhannsson,Englabörn & Variations,"""Ég Heyrði Allt Án Þess Að Hlusta"" (Remastered)","""Ég Heyrði Allt Án Þess Að Hlusta"""
4E4675C77107090A,Jóhann Jóhannsson,Englabörn & Variations,Karen Býr Til Engil (Remastered),Karen Býr Til Engil
4A0D32934E0CE768,Jóhann Jóhannsson,Englabörn & Variations,Englabörn - Tilbrigði (Remastered),Englabörn - Tilbrigði
0C2D291FF8212874,Jóhann Jóhannsson,Englabörn & Variations,"""Ég Átti Gráa Æsku"" (Remastered)","""Ég Átti Gráa Æsku"""
E57A0358B9FB9B98,Jóhann Jóhannsson,Englabörn & Variations,Krókódíll (Remastered),Krókódíll
3F898375DD2DDC99,Jóhann Jóhannsson,Englabörn & Variations,"""Ef Ég Hefði Aldrei…"" (Remastered)","""Ef Ég Hefði Aldrei…"""
D0DA9C9A64C0961A,Jóhann Jóhannsson,Englabörn & Variations,…Eins Og Venjulegt Fólk (Remastered),…Eins Og Venjulegt Fólk
6D870B3C39A755DD,Jóhann Jóhannsson,Englabörn & Variations,Odi et Amo - bis (Remastered),Odi et Amo - bis
32B9B165CE1D9AC4,Kelly Bailey,Half-Life 2: Episode One,Combine  Advisory,Combine Advisory
F7687E25F8BA09BB,"Wordless Music Orchestra, conducted by Ryan McAdams",The Disintegration Loops,"live:  d|lp 1.1 Live at The Metropolitan Museum of Art, September 11, 2011","live: d|lp 1.1 Live at The Metropolitan Museum of Art, September 11, 2011"
EAD2F7CE2A0D3223,"Alter Ego Ensemble, William Basinski",The Disintegration Loops,"live:  d|lp 1.1 Live at The 54th Venice Biennale, October 18, 2008","live: d|lp 1.1 Live at The 54th Venice Biennale, October 18, 2008"
E872732D3CF98B56,Kenta Higashiohji,Final Fantasy VII Remake Acoustic Arrangements,Expressway Medley ,Expressway Medley
A9965A27AD16A87F,Yasunori Nishiki,Final Fantasy VII Remake Acoustic Arrangements,Let the Battles Begin - Fight On Medley ,Let the Battles Begin - Fight On Medley
B609F092DB0A3EEB,Yuya Mori,Final Fantasy VII Remake Acoustic Arrangements,Sector 7 Undercity Medley ,Sector 7 Undercity Medley
BA0D11B6D89015B3,Kenta Higashiohji,Final Fantasy VII Remake Acoustic Arrangements,Aerith's Theme - Home Again ,Aerith's Theme - Home Again
FC27106D2EF36521,Duke Ellington,Duke Ellington Meets Count Basie,B D B ,B D B
